Date,SPY,MMM,A,MSFT,F,AAPL,SPYret,MMMret,Aret,MSFTret,Fret,AAPLret
12/1/2011,108.938858,69.103195,23.116854,21.823296,8.202476,38.879959,,,,,,
1/1/2012,114.713799,73.313805,28.106873,24.824419,9.467913,43.822041,0.053010846,0.060932204,0.215860644,0.137519236,0.154275002,0.127111297
2/1/2012,119.693024,74.066315,28.867949,26.682266,9.474458,52.074196,0.043405632,0.010264233,0.027077932,0.074839496,0.000691282,0.188310604
3/1/2012,123.0037,75.936745,29.456951,27.297937,9.550987,57.556755,0.027659724,0.02525345,0.02040332,0.023074165,0.008077401,0.105283603
4/1/2012,122.718063,76.064438,28.003004,27.094851,8.632626,56.062031,-0.002322182,0.001681571,-0.049358367,-0.00743961,-0.096153518,-0.025969567
5/1/2012,115.348122,71.850945,26.993883,24.700151,8.116591,55.46204,-0.060055878,-0.055393731,-0.03603617,-0.088382106,-0.059777291,-0.01070227
6/1/2012,119.410332,76.796944,26.051151,26.054655,7.371032,56.063938,0.035216958,0.068836937,-0.034923912,0.054837883,-0.091856175,0.010852432
7/1/2012,121.448952,78.194031,25.515022,25.100708,7.102016,58.6329,0.017072392,0.018191961,-0.020579858,-0.036613304,-0.036496382,0.045822004
8/1/2012,124.491577,79.368271,24.762033,26.250557,7.178877,63.862984,0.025052707,0.015017003,-0.029511595,0.045809425,0.01082242,0.0892005
9/1/2012,126.969795,79.718582,25.621639,25.515629,7.619792,66.017181,0.019906712,0.004413741,0.034714678,-0.027996663,0.061418381,0.033731543
10/1/2012,125.3246,75.561012,24.069611,24.469625,8.624431,58.913731,-0.012957373,-0.052153085,-0.060574891,-0.040994639,0.131845987,-0.10760002
11/1/2012,126.03392,78.450607,25.607817,22.823465,8.891454,57.920139,0.005659862,0.038241878,0.063906558,-0.06727361,0.030961231,-0.016865202
12/1/2012,126.264404,80.620544,27.3801,23.0888,10.056273,54.395519,0.001828746,0.027659913,0.069208672,0.011625535,0.131004333,-0.0608531
1/1/2013,133.669266,87.306366,30.05098,23.728479,10.056273,46.557709,0.058645681,0.082929507,0.097548219,0.027705164,0,-0.144089259
2/1/2013,135.374786,90.301949,27.836418,24.031023,9.864353,45.117504,0.012759253,0.034311164,-0.073693504,0.012750248,-0.019084605,-0.03093376
3/1/2013,139.892883,92.877754,28.165245,24.935972,10.286779,47.159058,0.033374731,0.028524357,0.011812835,0.037657531,0.042823488,0.045249711
4/1/2013,143.214691,91.479904,27.920858,28.849375,10.724846,47.171841,0.023745368,-0.015050429,-0.008676899,0.156938057,0.042585439,0.000271061
5/1/2013,146.595978,96.33741,30.622658,30.418219,12.265907,47.91227,0.023609917,0.053099159,0.096766367,0.05438052,0.143690735,0.015696419
6/1/2013,143.878433,96.078308,28.810225,30.315554,12.190547,44.282856,-0.01853765,-0.002689526,-0.059186012,-0.003375115,-0.006143859,-0.075751243
7/1/2013,152.114258,103.177666,30.255362,27.945776,13.301648,50.536705,0.057241553,0.073891372,0.050160559,-0.078170368,0.091144474,0.14122506
8/1/2013,147.551956,99.794937,31.547293,29.31498,12.833052,54.410748,-0.029992599,-0.032785477,0.042700894,0.048995025,-0.035228417,0.076658005
9/1/2013,151.483124,105.497772,34.665497,29.415483,13.372057,55.803791,0.026642602,0.057145534,0.098842205,0.003428384,0.04200131,0.02560235
10/1/2013,159.270309,111.187431,34.444988,31.298151,13.562295,61.18224,0.051406287,0.053931556,-0.006361051,0.064002621,0.014226532,0.096381427
11/1/2013,163.990738,117.954994,36.35181,33.702305,13.615832,65.088203,0.029637847,0.060866259,0.055358475,0.07681457,0.003947488,0.063841451
12/1/2013,167.333969,124.517715,38.808289,33.316677,12.300487,68.44883,0.020386706,0.0556375,0.06757515,-0.011442185,-0.096604086,0.051631891
1/1/2014,162.312393,113.810524,39.586864,33.699623,11.92581,61.077103,-0.030009304,-0.085989299,0.02006208,0.011494123,-0.030460339,-0.107696903
2/1/2014,169.70018,119.616913,38.756325,34.118206,12.366936,64.205406,0.045515853,0.051018032,-0.020980167,0.012420999,0.036989186,0.051218916
3/1/2014,170.356049,121.234009,38.068756,36.778709,12.535686,68.332603,0.003864869,0.013518958,-0.01774082,0.077978983,0.013645255,0.064281145
4/1/2014,172.297028,124.299248,36.788887,36.249313,12.977647,75.124626,0.011393661,0.025283656,-0.033619932,-0.014394089,0.035256228,0.099396521
5/1/2014,176.29541,127.391319,38.894447,36.733837,13.313924,80.587517,0.023206332,0.024876023,0.057233588,0.013366433,0.025912016,0.072717713
6/1/2014,179.076904,128.793198,39.235981,37.679714,13.961802,86.166939,0.015777461,0.01100451,0.008781048,0.025749475,0.048661687,0.069234321
7/1/2014,177.5168,126.680199,38.436504,38.998959,13.783636,88.642609,-0.008711922,-0.016406138,-0.020376119,0.035012076,-0.01276096,0.028731089
8/1/2014,184.522308,129.476532,39.169735,41.050098,14.200507,95.040451,0.039463916,0.022073955,0.019076423,0.052594712,0.030243907,0.072175696
9/1/2014,181.129898,128.150116,39.046387,42.152081,12.063498,93.882469,-0.018384823,-0.010244451,-0.003149064,0.026844832,-0.150488218,-0.012184096
10/1/2014,186.262466,139.085587,38.004715,42.688526,11.492543,100.638283,0.028336393,0.08533329,-0.026677808,0.012726418,-0.047329141,0.071960336
11/1/2014,191.379456,144.802002,41.078175,43.470474,12.94448,110.823257,0.027471933,0.041099981,0.080870492,0.018317522,0.126337313,0.101203774
12/1/2014,189.846146,149.425797,39.348164,42.500294,12.75521,103.302063,-0.008011884,0.031931844,-0.042115089,-0.022318137,-0.014621677,-0.067866567
1/1/2015,185.237854,147.588882,36.301414,36.964733,12.105103,109.647324,-0.024273824,-0.012293158,-0.077430551,-0.130247593,-0.050967957,0.06142434
2/1/2015,195.649094,153.363342,40.668121,40.121365,13.583669,120.222733,0.056204711,0.039125305,0.120290273,0.085395774,0.122144025,0.096449312
3/1/2015,191.72049,150.931656,40.03223,37.467381,13.417406,116.910706,-0.020079848,-0.015855719,-0.015636105,-0.066148896,-0.012239918,-0.027549091
4/1/2015,194.469864,143.099152,39.95697,44.820786,13.13476,117.587212,0.014340533,-0.051894375,-0.001879985,0.196261516,-0.021065622,0.005786519
5/1/2015,196.970016,145.560547,39.783119,43.180553,12.729929,122.407204,0.012856244,0.017200626,-0.004350956,-0.036595364,-0.030821347,0.040990784
6/1/2015,192.072342,142.079575,37.262264,40.947735,12.595666,118.34256,-0.024865074,-0.023914255,-0.063364941,-0.051708879,-0.010547034,-0.033205921
7/1/2015,197.281662,139.354004,39.650326,43.31279,12.444617,114.445923,0.027121656,-0.019183412,0.064087947,0.057757896,-0.011992141,-0.032926759
8/1/2015,186.69809,130.882614,35.157593,40.363434,11.75796,106.539444,-0.053647014,-0.060790431,-0.113308854,-0.068094343,-0.05517703,-0.069084846
9/1/2015,179.601776,131.450439,33.240433,41.320454,11.50364,104.538551,-0.038009569,0.00433843,-0.054530468,0.023710074,-0.021629602,-0.018780772
10/1/2015,196.837891,145.766525,36.667702,49.143898,12.554821,113.25798,0.095968511,0.108908621,0.103105426,0.189335867,0.09137812,0.083408742
11/1/2015,196.64946,145.182388,40.610249,50.74033,12.271536,112.120659,-0.00095729,-0.004007347,0.107520973,0.032484847,-0.022563842,-0.010041862
12/1/2015,192.107529,140.592468,40.600544,52.144402,12.066011,100.188835,-0.023096585,-0.031614854,-0.000238979,0.027671716,-0.016748107,-0.106419496
1/1/2016,183.629166,140.928482,36.660854,51.777847,10.224852,92.650391,-0.044133424,0.002389986,-0.097035399,-0.007029614,-0.152590529,-0.075242356
2/1/2016,183.477463,146.406937,36.36874,47.820961,10.845669,92.031723,-0.000826138,0.038874008,-0.007968009,-0.076420443,0.060716478,-0.006677446
3/1/2016,194.814468,156.639587,38.803059,52.282135,11.703959,104.302032,0.061789632,0.069891839,0.066934378,0.093289091,0.079136658,0.133326951
4/1/2016,196.590652,157.34462,39.84494,47.208221,11.755977,89.707985,0.009117311,0.004500989,0.026850486,-0.097048715,0.004444479,-0.139921023
5/1/2016,199.934998,158.228226,44.81369,50.171154,11.824283,95.564751,0.017011724,0.005615737,0.124702158,0.062763073,0.005810321,0.065287009
6/1/2016,199.59198,165.716675,43.319584,48.77763,11.017881,92.045006,-0.001715648,0.047326885,-0.033340392,-0.027775403,-0.068198807,-0.036830996
7/1/2016,207.947586,168.7827,47.105423,54.030018,11.096768,100.334824,0.041863436,0.018501608,0.087393245,0.107680262,0.007159907,0.090062659
8/1/2016,208.196609,169.615463,45.999016,54.773552,11.165276,102.154556,0.001197528,0.004933936,-0.02348789,0.013761498,0.006173689,0.018136594
9/1/2016,207.162247,167.806229,46.106716,55.249226,10.695625,109.435753,-0.004968198,-0.010666681,0.002341354,0.008684374,-0.042063537,0.071276283
10/1/2016,204.59903,157.398682,42.766193,57.474541,10.4032,109.91008,-0.012372993,-0.06202122,-0.072451983,0.040277759,-0.027340618,0.004334296
11/1/2016,212.136139,163.530823,43.168633,57.800663,10.730187,106.986641,0.03683844,0.038959291,0.009410237,0.005674199,0.031431386,-0.026598461
12/1/2016,215.168304,171.047867,44.719479,60.006588,10.882707,112.692825,0.014293486,0.045967139,0.035925298,0.038164355,0.014214105,0.053335481
1/1/2017,220.309525,167.530869,48.20575,62.430424,11.089056,118.073517,0.023893951,-0.020561484,0.077958668,0.040392832,0.018961183,0.047746536
2/1/2017,228.96582,178.580154,50.499374,61.783424,11.376906,133.291245,0.039291515,0.065953726,0.047579884,-0.010363537,0.025958026,0.128883499
3/1/2017,228.258987,184.54657,52.044876,63.98444,10.56881,140.387177,-0.003087068,0.033410297,0.030604379,0.035624701,-0.071029505,0.053236295
4/1/2017,231.527603,188.887024,54.325348,66.510399,10.414455,140.37738,0.014319769,0.023519559,0.043817416,0.039477707,-0.014604766,-6.98E-05
5/1/2017,234.79512,197.220703,59.545712,67.851097,10.232738,149.279861,0.014112862,0.044119913,0.096094442,0.02015772,-0.017448537,0.063418202
6/1/2017,235.145218,202.008148,58.52927,67.350868,10.297153,141.319901,0.001491079,0.024274556,-0.017069945,-0.007372453,0.006294992,-0.053322397
7/1/2017,241.148727,195.196579,59.134361,71.0345,10.324759,145.941574,0.02553107,-0.033719278,0.010338263,0.054693163,0.002680935,0.032703625
8/1/2017,241.85231,198.253067,64.010307,73.057076,10.280269,160.925293,0.002917631,0.015658512,0.082455376,0.02847315,-0.004309059,0.102669298
9/1/2017,245.507111,204.838806,63.496006,73.171272,11.156376,151.824387,0.015111706,0.033218851,-0.008034659,0.001563107,0.085222186,-0.056553608
10/1/2017,252.539352,224.639557,67.284004,81.707436,11.435985,166.522171,0.028643737,0.096665038,0.059657264,0.116660047,0.025062709,0.096807794
11/1/2017,260.258484,237.277298,68.126297,82.679909,11.813888,169.290329,0.030566056,0.056257861,0.012518473,0.011901891,0.033045077,0.01662336
12/1/2017,262.075256,230.853424,66.372093,84.447639,11.785579,167.30864,0.006980645,-0.027073277,-0.025749293,0.021380406,-0.002396248,-0.011705861
1/1/2018,278.260712,245.693085,72.935539,93.796707,10.351305,165.529068,0.06175881,0.064281745,0.09888864,0.110708459,-0.121697373,-0.010636462
2/1/2018,268.143005,230.990723,68.128128,92.57254,10.142195,176.097702,-0.03636053,-0.059840357,-0.065913148,-0.013051279,-0.020201318,0.063847602
3/1/2018,259.752716,216.577164,66.449516,90.527733,10.591472,166.551392,-0.031290352,-0.062398865,-0.024639045,-0.022088699,0.044297807,-0.054210304
4/1/2018,262.1409,191.784042,65.297318,92.75943,10.744417,164.049835,0.009194067,-0.114477083,-0.017339449,0.024652081,0.014440391,-0.01501973
5/1/2018,268.513306,194.585968,61.640327,98.036163,11.188882,185.501602,0.024309087,0.014609797,-0.056005225,0.056886216,0.041367065,0.130763722
6/1/2018,268.85025,195.410202,61.560692,98.231979,10.723889,184.463074,0.00125485,0.004235835,-0.00129193,0.001997385,-0.041558486,-0.005598485
7/1/2018,280.062195,210.906342,65.741722,105.67334,9.726092,189.624954,0.041703309,0.079300568,0.067917203,0.075752938,-0.093044324,0.02798327
8/1/2018,289.00174,209.515656,67.397339,111.899384,9.312705,226.834473,0.031919856,-0.006593856,0.025183657,0.058917831,-0.042502888,0.196226911
9/1/2018,289.409912,210.710007,70.390999,114.370003,9.086764,225.740005,0.001412351,0.005700533,0.044418074,0.022078933,-0.024261587,-0.004824963
10/1/2018,270.630005,190.259995,64.653145,106.809998,9.381471,218.860001,-0.064890338,-0.097052875,-0.08151403,-0.066101292,0.032432558,-0.030477558
11/1/2018,275.119995,195.300003,65.980003,107.720001,9.54,203.770004,0.01659088,0.026490109,0.020522714,0.00851983,0.016898096,-0.068948172
